file,line,col,category,source,severity,is_controlled
qtrader/research/session.py,115,17,STOCHASTIC_CALL,datetime.now,LOW,False
qtrader/research/report.py,124,13,STOCHASTIC_CALL,datetime.now,LOW,False
qtrader/core/events.py,654,36,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/resource_monitor.py,55,31,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/resource_monitor.py,75,23,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,156,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,183,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,189,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,213,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,219,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,248,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,254,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,332,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,338,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,378,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,384,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,438,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,444,21,STOCHASTIC_CALL,time.time,LOW,False
qtrader/core/orchestrator.py,451,22,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/override_system.py,72,32,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/override_system.py,78,25,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/override_system.py,124,64,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/override_system.py,147,11,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/key_rotation.py,72,23,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/key_rotation.py,104,23,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/key_rotation.py,105,23,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/key_rotation.py,120,14,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/secret_manager.py,70,23,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/compliance_state.py,45,32,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/compliance_state.py,94,32,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/compliance_state.py,121,32,STOCHASTIC_CALL,time.time,LOW,False
qtrader/security/compliance_state.py,136,33,STOCHASTIC_CALL,time.time,LOW,False
